case,filename,triplet_A_indices,triplet_A_atoms,triplet_A_elements,triplet_B_indices,triplet_B_atoms,triplet_B_elements,minimum_graph_distance
1,case_000001.pdb,0;1;2,0:C1:C;1:C2:C;2:Cl1:Cl,C-C-Cl,5;6;7,5:C4:C;6:O2:O;7:C5:C,C-O-C,3
2,case_000002.pdb,0;1;2,0:C1:C;1:C2:C;2:Cl1:Cl,C-C-Cl,7;8;9,7:C5:C;8:C6:C;9:N1:N,C-C-N,4
3,case_000003.pdb,0;1;2,0:C1:C;1:C2:C;2:Cl1:Cl,C-C-Cl,8;9;10,8:C6:C;9:N1:N;10:C7:C,C-N-C,5
4,case_000004.pdb,0;1;2,0:C1:C;1:C2:C;2:Cl1:Cl,C-C-Cl,9;10;11,9:N1:N;10:C7:C;11:N2:N,N-C-N,6
5,case_000005.pdb,0;1;2,0:C1:C;1:C2:C;2:Cl1:Cl,C-C-Cl,9;10;14,9:N1:N;10:C7:C;14:C10:C,N-C-C,6
6,case_000006.pdb,0;1;2,0:C1:C;1:C2:C;2:Cl1:Cl,C-C-Cl,10;11;12,10:C7:C;11:N2:N;12:C8:C,C-N-C,7
7,case_000007.pdb,0;1;2,0:C1:C;1:C2:C;2:Cl1:Cl,C-C-Cl,10;11;14,10:C7:C;11:N2:N;14:C10:C,C-N-C,6
8,case_000008.pdb,0;1;2,0:C1:C;1:C2:C;2:Cl1:Cl,C-C-Cl,11;12;13,11:N2:N;12:C8:C;13:C9:C,N-C-C,7
9,case_000009.pdb,1;2;3,1:C2:C;2:Cl1:Cl;3:C3:C,C-Cl-C,7;8;9,7:C5:C;8:C6:C;9:N1:N,C-C-N,3
10,case_000010.pdb,1;2;3,1:C2:C;2:Cl1:Cl;3:C3:C,C-Cl-C,8;9;10,8:C6:C;9:N1:N;10:C7:C,C-N-C,4
11,case_000011.pdb,1;2;3,1:C2:C;2:Cl1:Cl;3:C3:C,C-Cl-C,9;10;11,9:N1:N;10:C7:C;11:N2:N,N-C-N,5
12,case_000012.pdb,1;2;3,1:C2:C;2:Cl1:Cl;3:C3:C,C-Cl-C,9;10;14,9:N1:N;10:C7:C;14:C10:C,N-C-C,5
13,case_000013.pdb,1;2;3,1:C2:C;2:Cl1:Cl;3:C3:C,C-Cl-C,10;11;12,10:C7:C;11:N2:N;12:C8:C,C-N-C,6
14,case_000014.pdb,1;2;3,1:C2:C;2:Cl1:Cl;3:C3:C,C-Cl-C,10;11;14,10:C7:C;11:N2:N;14:C10:C,C-N-C,5
15,case_000015.pdb,1;2;3,1:C2:C;2:Cl1:Cl;3:C3:C,C-Cl-C,11;12;13,11:N2:N;12:C8:C;13:C9:C,N-C-C,6
